"#","English","Myanmar","Source","In code?","Notes"
"1","+ Intake Ticket","လက်မှတ် အသစ်","domTranslate","yes",""
"2","90-Day Elapsed","ရက် ၉၀ ကျော်လွန်","domTranslate","yes",""
"3","Account Type","အကောင့် အမျိုးအစား","domTranslate","yes",""
"4","Actions","လုပ်ဆောင်ချက်များ","domTranslate+i18n","yes","i18n key: actions"
"5","Active In-Shop Repairs","ဆိုင်တွင်း ပြုပြင်ဆဲ ပစ္စည်းများ","domTranslate","yes",""
"6","Active Jobs in Shop","ဆိုင်အတွင်း လုပ်ဆောင်နေသော ပြုပြင်မှုများ","i18n","yes","i18n key: dashActiveJobs"
"7","Active POS Register & Checkout","အရောင်းနှင့် ငွေချေစနစ်","i18n","yes","i18n key: posCartTitle"
"8","Active User","အသုံးပြုနေသူ","domTranslate","yes",""
"9","Add","ထည့်မည် ⚠CONFLICT(အသစ်ထည့်မည်)","domTranslate+i18n","yes","i18n key: add"
"10","Add comment","မှတ်ချက် ထည့်မည်","domTranslate","yes",""
"11","Add Customer","ဝယ်ယူသူ ထည့်မည်","domTranslate","yes",""
"12","Add Expense","အသုံးစရိတ် ထည့်မည်","domTranslate","yes",""
"13","Add Income","ဝင်ငွေ ထည့်မည်","domTranslate","yes",""
"14","Add Item","ပစ္စည်း ထည့်မည်","domTranslate","yes",""
"15","Add Part","အပိုပစ္စည်း ထည့်မည် ⚠CONFLICT(အပိုပစ္စည်းထည့်မည်)","domTranslate+i18n","yes","i18n key: addPart"
"16","Add Repairs","ပြုပြင်မှု ထည့်မည်","domTranslate","yes",""
"17","Add RMA","RMA ထည့်မည်","domTranslate","yes",""
"18","Add Service","ဝန်ဆောင်မှု ထည့်မည်","domTranslate","yes",""
"19","Add Supplier","ပေးသွင်းသူ ထည့်မည်","domTranslate","yes",""
"20","Address","လိပ်စာ","domTranslate","yes",""
"21","AI Assistant","AI အကူ ⚠CONFLICT(AI ကူညီမည့်သူ)","domTranslate+i18n","yes","i18n key: aiAssistant"
"22","AI Settings","AI သတ်မှတ်ချက်များ","domTranslate","yes",""
"23","All","အားလုံး","domTranslate","yes",""
"24","All Account Types","အကောင့် အမျိုးအစား အားလုံး ⚠CONFLICT(အကောင့်အမျိုးအစားအားလုံး)","domTranslate+i18n","yes","i18n key: filterAllAccountTypes"
"25","All Categories","အမျိုးအစားအားလုံး","domTranslate+i18n","yes","i18n key: filterAllCategories"
"26","All Checkout Status","ငွေရှင်းမှု အခြေအနေ အားလုံး","domTranslate","yes",""
"27","All Dates","ရက်စွဲအားလုံး","domTranslate","yes",""
"28","All Folders","ဖိုလ်ဒါအားလုံး","domTranslate","yes",""
"29","All Models","မော်ဒယ်အားလုံး","domTranslate","yes",""
"30","All Priorities","ဦးစားပေးအားလုံး","domTranslate","yes",""
"31","All QA Statuses","QA အခြေအနေအားလုံး","i18n","yes","i18n key: filterAllQaStatuses"
"32","All Quality Tiers","အသွင်အပြင် အဆင့်အားလုံး","i18n","yes","i18n key: filterAllTiers"
"33","All RMA Statuses","RMA အခြေအနေအားလုံး","i18n","yes","i18n key: filterAllRmaStatuses"
"34","All Stages","အဆင့်အားလုံး","i18n","yes","i18n key: filterAllStages"
"35","All Statuses","အခြေအနေအားလုံး","domTranslate+i18n","yes","i18n key: filterAllStatuses"
"36","All Stock","စတော့အားလုံး","i18n","yes","i18n key: filterAllStock"
"37","All Technicians","နည်းပညာရှင်အားလုံး","domTranslate+i18n","yes","i18n key: filterAllTechs"
"38","All Tiers","အဆင့်အားလုံး","domTranslate","yes",""
"39","All Time","အချိန်အားလုံး","domTranslate","yes",""
"40","Amount","ပမာဏ","domTranslate","yes",""
"41","Amount Received","ရရှိသည့်ငွေ","domTranslate","yes",""
"42","Apply","အသုံးပြုမည်","domTranslate","yes",""
"43","Are you sure?","သေချာပါသလား?","domTranslate","yes",""
"44","Ask AI about your shop data…","ဆိုင်ဒေတာအကြောင်း AI ကို မေးပါ…","domTranslate","yes",""
"45","Ask the customer to turn off Find My before accepting the device.","စက်လက်ခံရန် ဝယ်ယူသူကို Find My ပိတ်ရန် တောင်းဆိုပါ။","domTranslate","yes",""
"46","Assigned Tech","တာဝန်ပေးထားသည့် နည်းပညာရှင် ⚠CONFLICT(တာဝန်ယူထားသော နည်းပညာရှင်)","domTranslate+i18n","yes","i18n key: assignedTech"
"47","Available Repairs Selection (MMK Pricing)","ရရှိနိုင်သော ပြုပြင်မှုများ ရွေးချယ်ခြင်း (MMK ဈေးနှုန်း)","domTranslate","yes",""
"48","Back","နောက်သို့","domTranslate","yes",""
"49","Back to Ticket","လက်မှတ်သို့ ပြန်သွားမည်","domTranslate","yes",""
"50","Back to Tickets","လက်မှတ်များသို့ ပြန်သွားမည်","domTranslate","yes",""
"51","Backup","အရန်သိမ်းဆည်းမှု","domTranslate","yes",""
"52","Balance","လက်ကျန်","domTranslate","yes",""
"53","Base Price","အခြေခံဈေး","domTranslate","yes",""
"54","Before-Repair Condition Photos","ပြုပြင်မှုမတိုင်မီ အခြေအနေ ဓာတ်ပုံများ","domTranslate","yes",""
"55","Bin","Bin","domTranslate","yes",""
"56","Bottlenecks (>48h)","ကြန့်ကြာနေသည်များ (>၄၈ နာရီ)","i18n","yes","i18n key: filterBottlenecks"
"57","Burmese (Myanmar)","မြန်မာ","domTranslate","yes",""
"58","Calc","တွက်မည် ⚠CONFLICT(တွက်ချက်ရန်)","domTranslate+i18n","yes","i18n key: calc"
"59","Calendar","ပြက္ခဒိန်","domTranslate","yes",""
"60","Calendar Picker","ပြက္ခဒိန် ရွေးချယ်မှု","domTranslate","yes",""
"61","Call","ဖုန်းခေါ်မည်","domTranslate","yes",""
"62","Can't Repair","ပြုပြင်၍မရ","i18n","yes","i18n key: statusCantRepair"
"63","Cancel","ပယ်ဖျက်မည်","domTranslate+i18n","yes","i18n key: cancel"
"64","Cancel Edit","ပြင်ဆင်မှု ပယ်ဖျက်မည်","domTranslate","yes",""
"65","Category","အမျိုးအစား","domTranslate","yes",""
"66","Change","ပြောင်းမည် ⚠CONFLICT(ငွေပြန်)","domTranslate","yes",""
"67","Checklist","စစ်ဆေးစာရင်း","domTranslate","yes",""
"68","Checkout","ငွေရှင်းမည်","domTranslate","yes",""
"69","Choose","ရွေးချယ်မည်","domTranslate","yes",""
"70","Choose Device Model","စက်ပစ္စည်း ရွေးမည်","domTranslate","yes",""
"71","Choose Device Model First","စက်ပစ္စည်း အရင်ရွေးပါ","domTranslate","yes",""
"72","City","မြို့","domTranslate","yes",""
"73","Clear","ရှင်းမည်","domTranslate","yes",""
"74","click for details","အသေးစိတ်ကြည့်ရန် နှိပ်ပါ","domTranslate","yes",""
"75","Click to select Apple iPhone, iPad, MacBook, Watch, or Mac","Apple iPhone, iPad, MacBook, Watch, Mac တို့မှ ရွေးချယ်ရန် နှိပ်ပါ","domTranslate","yes",""
"76","Click to switch","ပြောင်းရန် နှိပ်ပါ","domTranslate","yes",""
"77","Close","ပိတ်မည်","domTranslate+i18n","yes","i18n key: close"
"78","Close menu","မီနူး ပိတ်မည်","domTranslate","yes",""
"79","Collapse sidebar","Sidebar ခေါက်မည်","domTranslate","yes",""
"80","Comment","မှတ်ချက်","domTranslate","yes",""
"81","Comments","မှတ်ချက်များ","domTranslate","yes",""
"82","Completed Today","ယနေ့ ပြီးစီးသည်များ","i18n","yes","i18n key: dashCompletedToday"
"83","Confirm","အတည်ပြုမည်","domTranslate","yes",""
"84","Confirm deletion","ဖျက်ရန် အတည်ပြုပါ","domTranslate","yes",""
"85","Connected","ချိတ်ဆက်ပြီး","domTranslate","yes",""
"86","Connecting…","ချိတ်ဆက်နေသည်…","domTranslate","yes",""
"87","Copied!","ကူးယူပြီးပါပြီ!","i18n","yes","i18n key: copied"
"88","Copy","မိတ္တူကူးမည် ⚠CONFLICT(ကူးယူမည်)","domTranslate+i18n","yes","i18n key: copy"
"89","Cost","ကုန်ကျ","domTranslate","yes",""
"90","Cost Price","ကုန်ကျဈေး","domTranslate","yes",""
"91","Cost, selling price, and expected margin per unit","ကုန်ကျဈေး၊ ရောင်းဈေးနှင့် တစ်ခုစီ၏ မျှော်မှန်း အမြတ်နှုန်း","domTranslate","yes",""
"92","Covered Warranty","အာမခံသက်တမ်း","domTranslate","yes",""
"93","Create","ဖန်တီးမည်","domTranslate","yes",""
"94","Create Ticket","လက်မှတ်ဖန်တီးမည်","i18n","yes","i18n key: createTicket"
"95","Created Date","ဖန်တီးသည့် ရက်စွဲ","i18n","yes","i18n key: createdAt"
"96","created successfully","အောင်မြင်စွာ ဖန်တီးပြီး","domTranslate","yes",""
"97","Currency","ငွေကြေး","domTranslate","yes",""
"98","Currency Symbol","ငွေကြေး သင်္ကေတ","i18n","yes","i18n key: currencySymbol"
"99","Customer","ဝယ်ယူသူ","domTranslate+i18n","yes","i18n key: customer"
"100","Customer & Contact","ဝယ်ယူသူနှင့် ဆက်သွယ်ရန်","domTranslate","yes",""
"101","Customer & Staff Portal","ဝယ်ယူသူနှင့် ဝန်ထမ်း ပေါ်တယ်","domTranslate+i18n","yes","i18n key: navCrm"
"102","Customer Deleted","ဝယ်ယူသူ ဖျက်ပြီး","domTranslate","yes",""
"103","Customer Follow-Ups","ဝယ်ယူသူ ဆက်သွယ်စုံစမ်းရေး","domTranslate+i18n","yes","i18n key: navFollowUp"
"104","Customer Information","ဝယ်ယူသူ အချက်အလက်","domTranslate","yes",""
"105","Customer Name","ဝယ်ယူသူ အမည်","domTranslate+i18n","yes","i18n key: customerName"
"106","Customer Name *","ဝယ်ယူသူ အမည် *","domTranslate","yes",""
"107","Customer Not Repair","ဝယ်ယူသူ မပြုပြင်","i18n","yes","i18n key: statusCustomerNotRepair"
"108","Customer Profile","ဝယ်ယူသူ ကိုယ်ရေးအချက်အလက်","domTranslate","yes",""
"109","Customer Public Portal","ဝယ်ယူသူ အများပြည်သူ ပေါ်တယ်","i18n","yes","i18n key: navPortal"
"110","Customer Relationship Management","ဝယ်ယူသူများ စီမံခန့်ခွဲမှု","i18n","yes","i18n key: crmTitle"
"111","Customer Roster","ဝယ်ယူသူ စာရင်း","domTranslate","yes",""
"112","Customer symptoms or intake notes","ဝယ်ယူသူ၏ ပြဿနာ သို့မဟုတ် မှတ်ချက်","domTranslate","yes",""
"113","Customer Type","ဝယ်ယူသူ အမျိုးအစား","domTranslate","yes",""
"114","Dashboard","ဒက်ရှ်ဘုတ်","domTranslate+i18n","yes","i18n key: navDashboard"
"115","Dashboard & Hardware Analytics","ဒက်ရှ်ဘုတ်နှင့် စက်ပစ္စည်း စာရင်းအင်းများ","i18n","yes","i18n key: navDashboardFull"
